note_str,pitch,instrument_family_str
mallet_acoustic_017-028-025,28,mallet
bass_electronic_004-047-127,47,bass
synth_lead_synthetic_011-022-127,22,synth_lead
organ_electronic_086-084-025,84,organ
vocal_acoustic_014-074-050,74,vocal
bass_synthetic_067-044-025,44,bass
organ_electronic_055-026-100,26,organ
string_acoustic_009-079-025,79,string
synth_lead_synthetic_003-040-100,40,synth_lead
flute_acoustic_005-069-075,69,flute
keyboard_acoustic_013-095-050,95,keyboard
mallet_acoustic_055-038-025,38,mallet
guitar_acoustic_023-062-050,62,guitar
keyboard_electronic_005-092-075,92,keyboard
bass_synthetic_074-094-127,94,bass
bass_synthetic_077-060-100,60,bass
string_acoustic_005-082-050,82,string
vocal_acoustic_022-074-025,74,vocal
guitar_electronic_043-043-025,43,guitar
guitar_acoustic_022-039-100,39,guitar
mallet_acoustic_019-064-075,64,mallet
keyboard_electronic_009-069-075,69,keyboard
string_acoustic_088-056-100,56,string
organ_electronic_000-085-025,85,organ
guitar_electronic_014-097-075,97,guitar
bass_synthetic_069-060-050,60,bass
guitar_electronic_027-039-050,39,guitar
mallet_acoustic_072-072-100,72,mallet
mallet_acoustic_030-062-100,62,mallet
mallet_acoustic_073-060-050,60,mallet
bass_synthetic_128-044-127,44,bass
string_acoustic_020-062-100,62,string
bass_synthetic_006-058-075,58,bass
keyboard_electronic_076-077-050,77,keyboard
string_acoustic_027-058-100,58,string
guitar_acoustic_022-055-100,55,guitar
bass_synthetic_074-030-050,30,bass
keyboard_electronic_107-033-127,33,keyboard
string_acoustic_075-089-127,89,string
bass_synthetic_124-047-025,47,bass
synth_lead_synthetic_010-060-100,60,synth_lead
bass_synthetic_100-025-025,25,bass
keyboard_electronic_061-070-100,70,keyboard
mallet_acoustic_017-077-025,77,mallet
keyboard_electronic_026-081-075,81,keyboard
bass_synthetic_071-046-127,46,bass
keyboard_electronic_060-037-025,37,keyboard
bass_synthetic_011-089-050,89,bass
keyboard_electronic_087-013-075,13,keyboard
synth_lead_synthetic_000-047-025,47,synth_lead
bass_synthetic_061-056-025,56,bass
guitar_electronic_027-011-127,11,guitar
organ_electronic_002-034-100,34,organ
bass_synthetic_097-071-050,71,bass
keyboard_acoustic_002-105-075,105,keyboard
mallet_acoustic_018-067-025,67,mallet
bass_electronic_020-037-075,37,bass
brass_acoustic_049-058-100,58,brass
brass_acoustic_007-080-100,80,brass
bass_synthetic_025-055-025,55,bass
keyboard_acoustic_011-063-025,63,keyboard
bass_synthetic_131-067-127,67,bass
brass_acoustic_065-083-050,83,brass
organ_electronic_035-046-100,46,organ
bass_synthetic_010-037-127,37,bass
bass_synthetic_145-011-075,11,bass
keyboard_electronic_106-043-025,43,keyboard
synth_lead_synthetic_004-033-050,33,synth_lead
bass_synthetic_118-043-100,43,bass
mallet_synthetic_004-042-075,42,mallet
string_acoustic_069-059-075,59,string
string_acoustic_074-059-025,59,string
bass_synthetic_128-029-127,29,bass
bass_synthetic_019-044-050,44,bass
string_acoustic_035-072-050,72,string
keyboard_electronic_005-015-075,15,keyboard
guitar_synthetic_010-108-025,108,guitar
keyboard_acoustic_002-094-100,94,keyboard
mallet_electronic_009-090-025,90,mallet
keyboard_acoustic_003-053-100,53,keyboard
bass_synthetic_139-061-075,61,bass
synth_lead_synthetic_001-069-075,69,synth_lead
string_acoustic_015-060-025,60,string
bass_synthetic_117-045-100,45,bass
reed_acoustic_001-086-100,86,reed
mallet_electronic_007-078-100,78,mallet
organ_electronic_097-049-100,49,organ
brass_acoustic_018-052-127,52,brass
vocal_synthetic_006-067-100,67,vocal
keyboard_acoustic_007-089-100,89,keyboard
keyboard_acoustic_014-051-025,51,keyboard
keyboard_electronic_084-047-050,47,keyboard
organ_electronic_122-061-127,61,organ
bass_synthetic_022-025-025,25,bass
bass_synthetic_086-044-100,44,bass
mallet_acoustic_069-098-100,98,mallet
mallet_acoustic_032-079-025,79,mallet
keyboard_electronic_096-047-075,47,keyboard
keyboard_synthetic_006-103-050,103,keyboard
organ_electronic_051-084-075,84,organ
keyboard_acoustic_003-082-025,82,keyboard
brass_acoustic_027-086-100,86,brass
guitar_electronic_030-097-100,97,guitar
string_acoustic_050-084-100,84,string
vocal_acoustic_028-067-100,67,vocal
keyboard_electronic_077-045-075,45,keyboard
keyboard_acoustic_008-093-100,93,keyboard
mallet_acoustic_046-054-127,54,mallet
keyboard_electronic_031-040-050,40,keyboard
bass_synthetic_003-031-050,31,bass
organ_electronic_056-074-100,74,organ
reed_acoustic_016-047-075,47,reed
flute_acoustic_007-081-050,81,flute
string_acoustic_027-035-025,35,string
string_acoustic_087-033-075,33,string
organ_electronic_070-041-025,41,organ
flute_acoustic_012-075-075,75,flute
brass_acoustic_003-051-100,51,brass
bass_synthetic_119-043-075,43,bass
bass_synthetic_027-090-075,90,bass
string_acoustic_038-078-050,78,string
reed_acoustic_003-099-127,99,reed
keyboard_electronic_017-047-025,47,keyboard
keyboard_acoustic_017-047-100,47,keyboard
string_acoustic_044-069-127,69,string
bass_synthetic_066-078-127,78,bass
organ_electronic_051-059-075,59,organ
bass_electronic_000-038-050,38,bass
keyboard_electronic_031-082-075,82,keyboard
mallet_acoustic_040-045-075,45,mallet
brass_acoustic_005-069-050,69,brass
organ_electronic_005-046-075,46,organ
organ_electronic_012-060-100,60,organ
mallet_electronic_012-042-100,42,mallet
guitar_electronic_016-051-100,51,guitar
bass_synthetic_026-051-075,51,bass
organ_electronic_106-062-075,62,organ
string_acoustic_048-063-025,63,string
bass_electronic_006-022-075,22,bass
bass_synthetic_003-036-025,36,bass
mallet_acoustic_024-029-050,29,mallet
reed_acoustic_014-059-127,59,reed
guitar_acoustic_007-029-025,29,guitar
bass_synthetic_090-048-025,48,bass
organ_electronic_085-038-127,38,organ
flute_acoustic_023-070-127,70,flute
bass_synthetic_119-036-050,36,bass
bass_synthetic_127-063-025,63,bass
bass_synthetic_008-089-100,89,bass
bass_synthetic_061-029-127,29,bass
string_acoustic_040-063-075,63,string
bass_synthetic_037-074-075,74,bass
flute_acoustic_009-087-025,87,flute
bass_synthetic_043-068-100,68,bass
bass_synthetic_067-037-075,37,bass
keyboard_acoustic_014-060-100,60,keyboard
mallet_synthetic_003-060-075,60,mallet
bass_synthetic_041-041-127,41,bass
keyboard_electronic_021-041-127,41,keyboard
mallet_acoustic_043-104-075,104,mallet
vocal_acoustic_019-080-075,80,vocal
flute_synthetic_003-036-127,36,flute
vocal_synthetic_013-052-050,52,vocal
keyboard_electronic_089-066-100,66,keyboard
keyboard_electronic_097-069-127,69,keyboard
bass_synthetic_053-079-025,79,bass
bass_synthetic_015-043-100,43,bass
mallet_acoustic_036-094-025,94,mallet
guitar_electronic_020-054-127,54,guitar
bass_synthetic_025-066-025,66,bass
brass_acoustic_038-045-127,45,brass
keyboard_electronic_028-042-025,42,keyboard
bass_synthetic_139-062-075,62,bass
organ_electronic_059-071-100,71,organ
bass_electronic_035-047-050,47,bass
mallet_acoustic_076-086-025,86,mallet
guitar_acoustic_016-095-050,95,guitar
brass_acoustic_033-056-100,56,brass
keyboard_acoustic_006-075-050,75,keyboard
bass_synthetic_102-102-075,102,bass
flute_acoustic_027-037-025,37,flute
keyboard_electronic_040-074-127,74,keyboard
reed_acoustic_039-063-050,63,reed
guitar_acoustic_024-082-025,82,guitar
vocal_synthetic_008-092-050,92,vocal
keyboard_electronic_004-063-050,63,keyboard
organ_electronic_111-032-075,32,organ
bass_synthetic_093-093-025,93,bass
mallet_acoustic_017-100-075,100,mallet
mallet_acoustic_003-074-100,74,mallet
organ_electronic_102-038-025,38,organ
guitar_electronic_018-095-075,95,guitar
mallet_acoustic_053-052-100,52,mallet
bass_synthetic_008-064-025,64,bass
bass_synthetic_121-102-050,102,bass
keyboard_electronic_065-031-100,31,keyboard
organ_electronic_098-070-025,70,organ
string_acoustic_000-075-127,75,string
keyboard_electronic_068-092-025,92,keyboard
string_acoustic_086-065-050,65,string
bass_synthetic_061-081-100,81,bass
mallet_acoustic_026-096-075,96,mallet
guitar_acoustic_008-099-127,99,guitar
bass_synthetic_060-054-100,54,bass
keyboard_electronic_041-089-100,89,keyboard
organ_electronic_014-078-025,78,organ
bass_synthetic_107-059-050,59,bass
mallet_synthetic_003-070-127,70,mallet
mallet_electronic_004-089-127,89,mallet
bass_synthetic_089-079-050,79,bass
keyboard_acoustic_000-073-127,73,keyboard
reed_acoustic_009-087-025,87,reed
brass_acoustic_030-031-025,31,brass
guitar_synthetic_009-037-025,37,guitar
string_acoustic_038-062-127,62,string
bass_synthetic_015-102-100,102,bass
bass_synthetic_037-055-025,55,bass
keyboard_electronic_099-104-050,104,keyboard
keyboard_electronic_047-038-127,38,keyboard
reed_acoustic_004-083-075,83,reed
guitar_electronic_042-047-127,47,guitar
synth_lead_synthetic_007-079-050,79,synth_lead
guitar_acoustic_000-094-127,94,guitar
organ_electronic_041-060-127,60,organ
reed_acoustic_032-042-050,42,reed
organ_electronic_070-078-100,78,organ
mallet_acoustic_069-100-075,100,mallet
organ_electronic_026-053-050,53,organ
keyboard_electronic_044-035-100,35,keyboard
keyboard_electronic_106-085-075,85,keyboard
flute_acoustic_005-101-025,101,flute
synth_lead_synthetic_007-073-100,73,synth_lead
bass_synthetic_082-064-100,64,bass
keyboard_electronic_099-023-127,23,keyboard
bass_electronic_022-042-127,42,bass
guitar_electronic_030-066-100,66,guitar
organ_electronic_060-064-050,64,organ
reed_acoustic_041-051-100,51,reed
organ_electronic_075-042-025,42,organ
keyboard_electronic_031-071-050,71,keyboard
bass_synthetic_127-087-100,87,bass
keyboard_electronic_104-090-127,90,keyboard
bass_synthetic_040-087-025,87,bass
synth_lead_synthetic_009-060-050,60,synth_lead
mallet_acoustic_059-048-127,48,mallet
bass_synthetic_111-070-075,70,bass
string_acoustic_064-067-075,67,string
keyboard_electronic_044-060-025,60,keyboard
organ_electronic_030-088-100,88,organ
bass_synthetic_126-039-100,39,bass
keyboard_electronic_051-021-075,21,keyboard
reed_acoustic_043-068-025,68,reed
guitar_acoustic_004-041-025,41,guitar
keyboard_electronic_010-029-025,29,keyboard
synth_lead_synthetic_012-063-100,63,synth_lead
organ_electronic_077-067-050,67,organ
bass_synthetic_061-034-075,34,bass
mallet_acoustic_041-028-050,28,mallet
mallet_acoustic_049-047-075,47,mallet
organ_electronic_038-045-025,45,organ
mallet_synthetic_002-092-075,92,mallet
keyboard_acoustic_005-065-127,65,keyboard
bass_synthetic_002-092-025,92,bass
bass_synthetic_129-065-127,65,bass
organ_electronic_024-034-050,34,organ
mallet_electronic_003-100-100,100,mallet
bass_synthetic_084-053-127,53,bass
synth_lead_synthetic_010-108-127,108,synth_lead
guitar_synthetic_011-101-127,101,guitar
bass_synthetic_055-058-075,58,bass
bass_synthetic_030-081-050,81,bass
bass_synthetic_073-094-100,94,bass
guitar_electronic_006-037-127,37,guitar
keyboard_acoustic_018-068-100,68,keyboard
guitar_acoustic_004-035-050,35,guitar
bass_synthetic_111-065-100,65,bass
string_acoustic_036-056-075,56,string
organ_electronic_035-046-025,46,organ
guitar_electronic_027-084-050,84,guitar
mallet_acoustic_026-074-075,74,mallet
bass_synthetic_116-036-127,36,bass
organ_electronic_089-074-050,74,organ
flute_acoustic_018-073-075,73,flute
string_acoustic_030-025-050,25,string
brass_acoustic_018-073-075,73,brass
bass_electronic_004-026-025,26,bass
guitar_electronic_031-062-075,62,guitar
mallet_acoustic_072-065-127,65,mallet
bass_synthetic_085-090-050,90,bass
bass_electronic_012-043-127,43,bass
string_acoustic_029-036-025,36,string
mallet_acoustic_019-021-050,21,mallet
mallet_acoustic_036-066-050,66,mallet
bass_electronic_028-027-025,27,bass
mallet_acoustic_017-085-050,85,mallet
keyboard_electronic_107-065-050,65,keyboard
mallet_acoustic_032-029-050,29,mallet
synth_lead_synthetic_000-075-050,75,synth_lead
keyboard_acoustic_013-103-025,103,keyboard
mallet_acoustic_026-077-025,77,mallet
keyboard_synthetic_002-038-050,38,keyboard
keyboard_electronic_059-055-075,55,keyboard
string_acoustic_043-051-025,51,string
keyboard_electronic_067-058-127,58,keyboard
bass_synthetic_114-085-127,85,bass
mallet_acoustic_027-090-050,90,mallet
organ_electronic_051-089-025,89,organ
vocal_acoustic_024-041-075,41,vocal
keyboard_electronic_102-072-127,72,keyboard
flute_acoustic_012-085-127,85,flute
bass_synthetic_099-080-075,80,bass
brass_acoustic_003-069-050,69,brass
guitar_acoustic_027-060-025,60,guitar
guitar_electronic_007-033-100,33,guitar
string_acoustic_029-068-127,68,string
keyboard_electronic_006-087-075,87,keyboard
bass_synthetic_019-075-050,75,bass
organ_electronic_067-042-050,42,organ
guitar_synthetic_012-064-025,64,guitar
keyboard_electronic_045-034-025,34,keyboard
synth_lead_synthetic_006-055-100,55,synth_lead
organ_electronic_106-044-025,44,organ
bass_electronic_005-063-050,63,bass
organ_electronic_018-056-050,56,organ
mallet_acoustic_040-022-075,22,mallet
reed_acoustic_045-061-025,61,reed
guitar_electronic_036-087-025,87,guitar
brass_acoustic_013-071-050,71,brass
bass_synthetic_099-055-025,55,bass
mallet_acoustic_014-086-075,86,mallet
guitar_acoustic_007-099-127,99,guitar
bass_electronic_015-016-050,16,bass
brass_acoustic_022-063-127,63,brass
reed_acoustic_016-072-025,72,reed
bass_synthetic_132-048-127,48,bass
vocal_synthetic_004-094-075,94,vocal
guitar_acoustic_006-068-127,68,guitar
bass_synthetic_108-036-025,36,bass
keyboard_electronic_072-070-050,70,keyboard
reed_acoustic_003-074-127,74,reed
string_acoustic_035-090-025,90,string
organ_electronic_112-026-075,26,organ
keyboard_synthetic_010-065-050,65,keyboard
brass_acoustic_012-047-050,47,brass
flute_synthetic_005-051-127,51,flute
keyboard_electronic_106-066-100,66,keyboard
vocal_acoustic_025-063-100,63,vocal
bass_synthetic_056-033-025,33,bass
guitar_acoustic_016-062-075,62,guitar
keyboard_electronic_086-043-025,43,keyboard
organ_electronic_112-044-050,44,organ
string_acoustic_089-062-075,62,string
reed_acoustic_013-033-075,33,reed
string_acoustic_004-051-075,51,string
brass_acoustic_054-048-100,48,brass
string_acoustic_070-076-025,76,string
keyboard_electronic_093-047-100,47,keyboard
mallet_acoustic_032-106-100,106,mallet
mallet_acoustic_033-070-050,70,mallet
string_acoustic_020-051-050,51,string
organ_electronic_008-060-025,60,organ
synth_lead_synthetic_012-021-075,21,synth_lead
guitar_electronic_001-087-050,87,guitar
guitar_electronic_044-077-100,77,guitar
keyboard_electronic_065-058-025,58,keyboard
bass_synthetic_058-082-075,82,bass
keyboard_electronic_040-070-050,70,keyboard
bass_synthetic_074-034-075,34,bass
guitar_electronic_005-031-100,31,guitar
bass_synthetic_001-018-075,18,bass
organ_electronic_003-078-075,78,organ
mallet_acoustic_023-063-050,63,mallet
reed_acoustic_000-072-075,72,reed
mallet_acoustic_000-104-075,104,mallet
bass_synthetic_104-107-100,107,bass
keyboard_electronic_023-084-025,84,keyboard
organ_electronic_043-057-025,57,organ
keyboard_electronic_071-083-127,83,keyboard
bass_synthetic_132-021-075,21,bass
bass_synthetic_071-107-075,107,bass
brass_acoustic_000-035-050,35,brass
reed_acoustic_030-093-050,93,reed
bass_electronic_005-026-127,26,bass
flute_acoustic_008-095-050,95,flute
guitar_acoustic_032-042-075,42,guitar
bass_synthetic_080-029-127,29,bass
flute_acoustic_029-062-025,62,flute
mallet_electronic_008-023-025,23,mallet
mallet_electronic_009-035-100,35,mallet
string_acoustic_026-091-127,91,string
keyboard_acoustic_011-026-127,26,keyboard
string_acoustic_006-078-100,78,string
keyboard_electronic_046-085-100,85,keyboard
synth_lead_synthetic_012-024-050,24,synth_lead
keyboard_synthetic_012-051-075,51,keyboard
bass_electronic_006-062-075,62,bass
guitar_electronic_004-053-050,53,guitar
guitar_acoustic_031-061-050,61,guitar
bass_synthetic_058-097-127,97,bass
keyboard_electronic_061-075-100,75,keyboard
mallet_acoustic_046-026-025,26,mallet
keyboard_electronic_048-035-050,35,keyboard
guitar_synthetic_012-111-075,111,guitar
mallet_acoustic_025-089-127,89,mallet
string_acoustic_078-093-050,93,string
guitar_acoustic_034-053-127,53,guitar
reed_acoustic_026-026-025,26,reed
mallet_acoustic_009-038-127,38,mallet
bass_synthetic_017-024-025,24,bass
guitar_acoustic_009-080-050,80,guitar
bass_synthetic_018-063-025,63,bass
keyboard_synthetic_003-074-100,74,keyboard
string_acoustic_004-086-050,86,string
keyboard_electronic_023-041-050,41,keyboard
keyboard_electronic_018-059-127,59,keyboard
guitar_electronic_031-095-075,95,guitar
keyboard_electronic_088-070-127,70,keyboard
keyboard_synthetic_005-067-100,67,keyboard
keyboard_electronic_064-053-100,53,keyboard
organ_electronic_039-093-050,93,organ
bass_synthetic_018-055-127,55,bass
keyboard_electronic_080-031-100,31,keyboard
vocal_acoustic_006-055-075,55,vocal
keyboard_electronic_043-035-127,35,keyboard
keyboard_electronic_080-102-025,102,keyboard
brass_acoustic_065-071-075,71,brass
guitar_acoustic_000-042-075,42,guitar
guitar_acoustic_019-054-050,54,guitar
keyboard_acoustic_002-030-025,30,keyboard
bass_electronic_019-050-127,50,bass
keyboard_electronic_083-062-050,62,keyboard
organ_electronic_027-062-075,62,organ
keyboard_acoustic_000-058-025,58,keyboard
mallet_acoustic_007-067-127,67,mallet
reed_acoustic_016-038-127,38,reed
mallet_acoustic_016-101-050,101,mallet
brass_acoustic_052-071-025,71,brass
organ_electronic_038-040-050,40,organ
mallet_acoustic_010-034-025,34,mallet
mallet_electronic_003-021-100,21,mallet
string_acoustic_019-032-127,32,string
keyboard_electronic_056-086-075,86,keyboard
bass_synthetic_089-073-050,73,bass
keyboard_electronic_090-081-050,81,keyboard
organ_electronic_046-025-050,25,organ
keyboard_electronic_083-037-025,37,keyboard
bass_synthetic_027-046-075,46,bass
mallet_acoustic_074-068-127,68,mallet
keyboard_synthetic_006-072-075,72,keyboard
bass_electronic_004-056-100,56,bass
mallet_acoustic_079-105-127,105,mallet
keyboard_synthetic_007-058-075,58,keyboard
bass_synthetic_005-099-075,99,bass
reed_acoustic_006-071-050,71,reed
string_acoustic_052-067-050,67,string
mallet_acoustic_039-068-050,68,mallet
bass_synthetic_058-081-075,81,bass
mallet_acoustic_040-052-050,52,mallet
keyboard_electronic_043-042-100,42,keyboard
keyboard_electronic_006-049-100,49,keyboard
organ_electronic_085-080-127,80,organ
bass_synthetic_127-069-050,69,bass
organ_electronic_075-057-100,57,organ
bass_synthetic_074-070-127,70,bass
reed_acoustic_056-052-100,52,reed
reed_acoustic_015-060-025,60,reed
bass_synthetic_079-098-127,98,bass
bass_electronic_024-031-127,31,bass
bass_synthetic_001-055-100,55,bass
guitar_electronic_032-087-050,87,guitar
guitar_electronic_017-053-075,53,guitar
bass_synthetic_111-090-075,90,bass
vocal_acoustic_020-076-100,76,vocal
bass_electronic_016-024-100,24,bass
brass_acoustic_009-042-127,42,brass
mallet_acoustic_032-022-050,22,mallet
guitar_electronic_044-063-100,63,guitar
keyboard_electronic_000-062-127,62,keyboard
bass_synthetic_132-024-050,24,bass
bass_synthetic_140-104-127,104,bass
organ_electronic_077-051-100,51,organ
organ_electronic_094-030-025,30,organ
flute_synthetic_006-087-025,87,flute
mallet_acoustic_023-088-100,88,mallet
keyboard_electronic_087-072-025,72,keyboard
keyboard_electronic_067-046-050,46,keyboard
organ_electronic_032-028-127,28,organ
mallet_electronic_008-021-075,21,mallet
keyboard_electronic_013-063-100,63,keyboard
organ_electronic_101-076-050,76,organ
keyboard_electronic_079-086-100,86,keyboard
organ_electronic_074-043-075,43,organ
brass_acoustic_008-062-025,62,brass
keyboard_electronic_075-106-050,106,keyboard
brass_acoustic_004-056-127,56,brass
mallet_acoustic_010-078-025,78,mallet
mallet_acoustic_066-057-127,57,mallet
guitar_synthetic_007-067-127,67,guitar
bass_synthetic_109-039-075,39,bass
mallet_acoustic_012-107-075,107,mallet
organ_electronic_058-069-127,69,organ
guitar_acoustic_024-081-100,81,guitar
guitar_electronic_005-093-050,93,guitar
synth_lead_synthetic_004-076-050,76,synth_lead
bass_synthetic_024-043-127,43,bass
bass_electronic_011-041-100,41,bass
organ_electronic_055-037-100,37,organ
keyboard_electronic_032-088-127,88,keyboard
bass_synthetic_139-056-127,56,bass
brass_acoustic_061-044-100,44,brass
keyboard_electronic_093-060-127,60,keyboard
flute_synthetic_002-046-100,46,flute
bass_synthetic_064-062-025,62,bass
keyboard_electronic_062-038-025,38,keyboard
bass_synthetic_132-101-100,101,bass
string_acoustic_077-048-100,48,string
bass_synthetic_057-108-075,108,bass
mallet_acoustic_039-053-025,53,mallet
guitar_acoustic_004-079-050,79,guitar
synth_lead_synthetic_005-108-100,108,synth_lead
bass_synthetic_018-028-050,28,bass
keyboard_electronic_012-056-075,56,keyboard
organ_electronic_054-075-127,75,organ
mallet_acoustic_030-024-075,24,mallet
keyboard_synthetic_006-107-050,107,keyboard
keyboard_electronic_033-061-075,61,keyboard
mallet_acoustic_055-064-075,64,mallet
bass_synthetic_008-094-025,94,bass
bass_electronic_009-032-100,32,bass
guitar_electronic_016-096-050,96,guitar
brass_acoustic_005-066-127,66,brass
keyboard_electronic_081-059-025,59,keyboard
keyboard_electronic_013-091-050,91,keyboard
vocal_synthetic_012-050-025,50,vocal
mallet_acoustic_046-025-050,25,mallet
keyboard_electronic_100-073-100,73,keyboard
string_acoustic_060-032-100,32,string
bass_synthetic_074-086-025,86,bass
reed_acoustic_030-063-100,63,reed
keyboard_electronic_028-029-050,29,keyboard
string_acoustic_060-047-100,47,string
organ_electronic_019-069-127,69,organ
bass_synthetic_104-083-025,83,bass
bass_synthetic_032-093-025,93,bass
keyboard_synthetic_009-080-100,80,keyboard
brass_acoustic_032-056-025,56,brass
bass_synthetic_027-080-100,80,bass
string_acoustic_013-062-050,62,string
mallet_acoustic_038-101-127,101,mallet
string_acoustic_044-088-075,88,string
string_acoustic_000-051-100,51,string
keyboard_synthetic_005-090-100,90,keyboard
synth_lead_synthetic_006-081-100,81,synth_lead
flute_acoustic_021-079-127,79,flute
guitar_synthetic_007-052-050,52,guitar
guitar_electronic_015-029-025,29,guitar
mallet_acoustic_059-072-127,72,mallet
bass_electronic_010-062-050,62,bass
bass_synthetic_079-095-050,95,bass
bass_synthetic_078-088-127,88,bass
string_acoustic_090-072-127,72,string
organ_electronic_082-093-100,93,organ
bass_synthetic_096-026-050,26,bass
bass_synthetic_119-100-050,100,bass
keyboard_acoustic_018-053-100,53,keyboard
keyboard_electronic_067-090-050,90,keyboard
synth_lead_synthetic_002-075-075,75,synth_lead
bass_electronic_011-061-127,61,bass
bass_synthetic_012-060-025,60,bass
string_acoustic_031-052-050,52,string
keyboard_electronic_067-072-075,72,keyboard
mallet_electronic_003-083-050,83,mallet
flute_acoustic_028-088-025,88,flute
mallet_acoustic_032-047-127,47,mallet
mallet_acoustic_017-037-050,37,mallet
vocal_synthetic_009-029-075,29,vocal
vocal_synthetic_007-081-050,81,vocal
keyboard_acoustic_014-042-050,42,keyboard
vocal_synthetic_012-097-025,97,vocal
keyboard_electronic_014-101-127,101,keyboard
mallet_acoustic_048-033-025,33,mallet
mallet_acoustic_001-091-050,91,mallet
string_acoustic_068-028-025,28,string
keyboard_electronic_066-057-127,57,keyboard
bass_synthetic_119-037-025,37,bass
mallet_acoustic_007-040-100,40,mallet
organ_electronic_109-036-050,36,organ
bass_synthetic_103-054-050,54,bass
bass_electronic_034-044-075,44,bass
flute_acoustic_007-091-127,91,flute
bass_synthetic_018-038-127,38,bass
organ_electronic_038-051-127,51,organ
keyboard_acoustic_003-052-025,52,keyboard
keyboard_electronic_090-062-075,62,keyboard
reed_acoustic_048-037-050,37,reed
keyboard_electronic_021-026-100,26,keyboard
string_acoustic_010-066-100,66,string
bass_synthetic_023-102-025,102,bass
organ_electronic_067-082-127,82,organ
organ_electronic_038-027-127,27,organ
organ_electronic_094-070-025,70,organ
reed_acoustic_017-088-025,88,reed
keyboard_electronic_032-061-075,61,keyboard
mallet_acoustic_053-075-075,75,mallet
vocal_synthetic_014-036-127,36,vocal
mallet_electronic_009-068-025,68,mallet
keyboard_acoustic_019-061-050,61,keyboard
keyboard_electronic_036-091-075,91,keyboard
keyboard_electronic_100-091-100,91,keyboard
bass_synthetic_042-055-127,55,bass
bass_synthetic_017-027-050,27,bass
keyboard_electronic_006-064-100,64,keyboard
brass_acoustic_049-066-100,66,brass
reed_acoustic_015-058-100,58,reed
guitar_electronic_021-030-127,30,guitar
keyboard_acoustic_010-096-025,96,keyboard
synth_lead_synthetic_001-106-025,106,synth_lead
bass_synthetic_058-063-127,63,bass
mallet_acoustic_037-077-025,77,mallet
mallet_acoustic_017-034-050,34,mallet
bass_synthetic_027-093-050,93,bass
bass_synthetic_014-054-127,54,bass
reed_acoustic_004-071-075,71,reed
bass_synthetic_032-106-050,106,bass
keyboard_synthetic_006-039-127,39,keyboard
keyboard_electronic_081-036-100,36,keyboard
vocal_acoustic_016-069-100,69,vocal
guitar_electronic_037-060-075,60,guitar
bass_synthetic_137-083-100,83,bass
string_acoustic_049-084-127,84,string
keyboard_electronic_073-082-050,82,keyboard
string_acoustic_060-039-075,39,string
vocal_synthetic_001-064-100,64,vocal
organ_electronic_040-053-100,53,organ
synth_lead_synthetic_000-095-100,95,synth_lead
synth_lead_synthetic_008-021-050,21,synth_lead
mallet_acoustic_072-062-075,62,mallet
mallet_acoustic_046-090-100,90,mallet
bass_synthetic_076-049-075,49,bass
keyboard_acoustic_019-044-127,44,keyboard
mallet_acoustic_029-049-127,49,mallet
bass_synthetic_067-068-025,68,bass
guitar_electronic_002-074-025,74,guitar
vocal_synthetic_008-074-075,74,vocal
bass_synthetic_025-054-050,54,bass
bass_synthetic_131-034-127,34,bass
organ_electronic_032-063-075,63,organ
guitar_acoustic_004-046-050,46,guitar
guitar_electronic_015-028-050,28,guitar
keyboard_electronic_104-099-100,99,keyboard
keyboard_acoustic_006-083-025,83,keyboard
guitar_acoustic_033-031-050,31,guitar
bass_synthetic_102-085-075,85,bass
keyboard_electronic_018-066-025,66,keyboard
guitar_acoustic_017-096-127,96,guitar
keyboard_electronic_109-058-075,58,keyboard
keyboard_electronic_068-045-050,45,keyboard
mallet_acoustic_050-021-050,21,mallet
guitar_electronic_043-043-100,43,guitar
keyboard_electronic_050-078-025,78,keyboard
guitar_acoustic_009-035-127,35,guitar
guitar_acoustic_017-105-127,105,guitar
mallet_electronic_006-071-050,71,mallet
organ_electronic_009-078-025,78,organ
string_acoustic_088-056-025,56,string
guitar_electronic_023-056-050,56,guitar
bass_synthetic_064-081-100,81,bass
organ_electronic_049-094-075,94,organ
keyboard_electronic_062-048-100,48,keyboard
flute_synthetic_006-084-050,84,flute
mallet_acoustic_012-097-127,97,mallet
reed_acoustic_045-088-075,88,reed
keyboard_electronic_083-099-100,99,keyboard
bass_electronic_009-025-127,25,bass
string_acoustic_081-040-075,40,string
organ_electronic_023-038-050,38,organ
guitar_electronic_020-079-025,79,guitar
vocal_synthetic_006-099-100,99,vocal
bass_synthetic_007-067-100,67,bass
guitar_electronic_005-066-100,66,guitar
organ_electronic_004-082-127,82,organ
flute_acoustic_019-055-050,55,flute
brass_acoustic_055-088-075,88,brass
guitar_electronic_038-045-075,45,guitar
bass_synthetic_088-081-127,81,bass
keyboard_electronic_047-075-075,75,keyboard
reed_acoustic_017-048-127,48,reed
keyboard_electronic_034-074-127,74,keyboard
organ_electronic_060-051-127,51,organ
mallet_acoustic_016-038-050,38,mallet
brass_acoustic_029-048-127,48,brass
keyboard_electronic_042-033-075,33,keyboard
bass_acoustic_000-043-100,43,bass
organ_electronic_080-046-025,46,organ
guitar_acoustic_020-030-075,30,guitar
string_acoustic_027-065-075,65,string
mallet_synthetic_004-045-025,45,mallet
keyboard_electronic_050-061-100,61,keyboard
